Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
01342;Sainte-Croix;10.1;97;78.1;0
01343;Saint-Cyr-sur-Menthon;1.9;96.5;89.8;0.9
01344;Saint-Denis-lès-Bourg;5.9;91.7;83.8;4.2
01345;Saint-Denis-en-Bugey;8.2;93.3;82.2;2
01346;Saint-Didier-d'Aussiat;0.5;94.8;94.1;0.3
01347;Saint-Didier-de-Formans;5.9;98.6;87.2;0.7
01348;Saint-Didier-sur-Chalaronne;3;93.5;86.7;1.2
01349;Saint-Éloi;7.7;98.1;87.9;0.9
01350;Saint-Étienne-du-Bois;1.4;92.7;91.7;0.9
01351;Saint-Étienne-sur-Chalaronne;1.6;94.6;89.3;0.3
01352;Saint-Étienne-sur-Reyssouze;0.7;95.6;91.5;0
01353;Sainte-Euphémie;5.1;96.2;88.8;0.2
01354;Saint-Genis-Pouilly;14.7;89.4;65.7;7.7
01355;Saint-Genis-sur-Menthon;0.9;98.1;91;0
01356;Saint-Georges-sur-Renon;8.3;100;88.5;0
01357;Saint-Germain-de-Joux;2.5;88.9;91.5;0
01358;Saint-Germain-les-Paroisses;1.2;94.5;91;1.8
01359;Saint-Germain-sur-Renon;7;97.1;86;0
01360;Saint-Jean-de-Gonville;5.9;97.2;80.9;3.4
01361;Saint-Jean-de-Niost;7.3;97.9;86.4;0
01362;Saint-Jean-de-Thurigneux;3.5;98.3;89.9;0.3
01363;Saint-Jean-le-Vieux;4.7;91.6;85.5;1.8
01364;Saint-Jean-sur-Reyssouze;1.3;94.9;87.1;1.3
01365;Saint-Jean-sur-Veyle;3.1;95.6;88.8;1
01366;Sainte-Julie;7.8;96.9;86.8;0.5
01367;Saint-Julien-sur-Reyssouze;2.6;92.1;88;0.6
01368;Saint-Julien-sur-Veyle;2;97.9;90.7;1
01369;Saint-Just;3.8;97.3;88.1;2.8
01370;Saint-Laurent-sur-Saône;3.5;84.8;76.9;2.6
01371;Saint-Marcel;12.4;97.4;80.6;0
01372;Saint-Martin-de-Bavel;4.5;96.5;90.9;0.5
01373;Saint-Martin-du-Frêne;0.6;92.8;88.8;1
01374;Saint-Martin-du-Mont;1.7;94.3;92.9;0.4
01375;Saint-Martin-le-Châtel;0.8;96.8;94.4;0.8
01376;Saint-Maurice-de-Beynost;13.5;88.8;74.3;3.4
01378;Saint-Maurice-de-Gourdans;5.9;97.5;86.4;0.3
01379;Saint-Maurice-de-Rémens;7.1;94.4;83.4;1.4
01380;Saint-Nizier-le-Bouchoux;3.3;92.5;84.1;0.8
01381;Saint-Nizier-le-Désert;3.7;98.7;89.5;0.2
01382;Sainte-Olive;4.6;97.1;86.7;0.6
01383;Saint-Paul-de-Varax;12.1;92;78.1;0.1
01384;Saint-Rambert-en-Bugey;6.7;84.3;80.7;1.3
01385;Saint-Rémy;2.7;98;90.9;1.3
01386;Saint-Sorlin-en-Bugey;5.4;93.9;87.2;1.2
01387;Saint-Sulpice;2.4;96.9;95.2;0
01388;Saint-Trivier-de-Courtes;3.2;89.1;80.2;3.2
01389;Saint-Trivier-sur-Moignans;3.5;94.7;87;0.6
01390;Saint-Vulbas;1.6;95.6;83.2;2.4
01391;Salavre;3.1;96;90.3;0.7
01392;Samognat;0.3;98.7;95;0
01393;Sandrans;6.8;96.5;83.5;0
01396;Sault-Brénaz;3.1;90.1;85.8;0.5
01397;Sauverny;7.5;98.5;85.1;3.3
01398;Savigneux;3.7;97;86.8;0.4
01399;Ségny;11.2;95.1;75.1;4.5
01400;Seillonnaz;1.8;97;83.6;0
01401;Sergy;9.8;96.3;75.7;5.8
01402;Sermoyer;2.4;92.8;89.3;1.1
01403;Serrières-de-Briord;2.3;88.6;90.6;0.7
01404;Serrières-sur-Ain;1.9;94.4;98.1;0
01405;Servas;4;95.6;84.6;1
