Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages fiscaux 2021;Médiane du niveau de vie 2021
02050;Barzy-en-Thiérache;127;21140
02051;Barzy-sur-Marne;165;25580
02052;Bassoles-Aulers;58;22970
02053;Vallées en Champagne;248;26580
02054;Bazoches-et-Saint-Thibaut;206;24020
02055;Beaumé;N/A - résultat non disponible;N/A - résultat non disponible
02056;Beaumont-en-Beine;72;22300
02057;Beaurevoir;529;19030
02058;Beaurieux;317;20510
02059;Beautor;1123;17760
02060;Beauvois-en-Vermandois;106;22740
02061;Becquigny;94;19290
02062;Belleau;54;28100
02063;Bellenglise;156;22500
02064;Belleu;1637;20140
02065;Bellicourt;231;21080
02066;Benay;88;22250
02067;Bergues-sur-Sambre;85;23420
02068;Berlancourt;N/A - résultat non disponible;N/A - résultat non disponible
02069;Berlise;N/A - résultat non disponible;N/A - résultat non disponible
02070;Bernot;183;22110
02071;Berny-Rivière;258;23920
02072;Berrieux;79;25760
02073;Berry-au-Bac;249;21950
02074;Bertaucourt-Epourdon;230;21750
02075;Berthenicourt;78;22760
02076;Bertricourt;57;28980
02078;Besmé;63;21360
02079;Besmont;63;20070
02080;Besny-et-Loizy;140;26260
02081;Béthancourt-en-Vaux;166;24090
02082;Beugneux;47;22980
02083;Beuvardes;300;23490
02084;Bézu-le-Guéry;104;25230
02085;Bézu-Saint-Germain;351;23830
02086;Bichancourt;420;22450
02087;Bieuxy;N/A - résultat non disponible;N/A - résultat non disponible
02088;Bièvres;N/A - résultat non disponible;N/A - résultat non disponible
02089;Billy-sur-Aisne;492;22590
02090;Billy-sur-Ourcq;72;22540
02091;Blanzy-lès-Fismes;43;23880
02093;Blérancourt;523;19760
02094;Blesmes;187;25760
02095;Bohain-en-Vermandois;2347;16190
02096;Bois-lès-Pargny;79;23420
02097;Boncourt;103;19640
02098;Bonneil;145;26710
02099;Bonnesvalyn;89;22880
02100;Bony;48;19850
02101;Bosmont-sur-Serre;71;21500
02102;Bouconville-Vauclair;75;23830
02103;Boué;563;20360
02104;Bouffignereux;44;27530
02105;Bouresches;78;23410
02106;Bourg-et-Comin;286;20250
02107;Bourguignon-sous-Coucy;N/A - résultat non disponible;N/A - résultat non disponible
02108;Bourguignon-sous-Montbavin;60;25450
02109;La Bouteille;197;20990
02110;Braine;898;20580
02111;Brancourt-en-Laonnois;285;23310
02112;Brancourt-le-Grand;246;22020
02114;Brasles;667;22080
02115;Braye-en-Laonnois;91;22290
02116;Braye-en-Thiérache;64;21300
02117;Bray-Saint-Christophe;N/A - résultat non disponible;N/A - résultat non disponible
02118;Braye;52;22420
02119;Brécy;131;23500
02120;Brenelle;75;22100
02121;Breny;95;21500
02122;Brie;N/A - résultat non disponible;N/A - résultat non disponible
02123;Brissay-Choigny;127;22810
02124;Brissy-Hamégicourt;275;21140
02125;Brumetz;70;23200
02126;Brunehamel;192;17550
02127;Bruyères-sur-Fère;80;20700
02128;Bruyères-et-Montbérault;686;23910
02129;Bruys;N/A - résultat non disponible;N/A - résultat non disponible
02130;Bucilly;79;19480
02131;Bucy-le-Long;775;23900
02132;Bucy-lès-Cerny;74;24200
02133;Bucy-lès-Pierrepont;175;19120
02134;Buire;351;21200
02135;Buironfosse;460;19400
02136;Burelles;55;23000
02137;Bussiares;48;23060
02138;Buzancy;75;25330
02139;Caillouël-Crépigny;182;23580
02140;Camelin;174;20540
02141;La Capelle;759;18690
02142;Castres;90;26180
02143;Le Catelet;82;20010
02144;Caulaincourt;53;24290
02145;Caumont;218;23920
02146;Celles-lès-Condé;N/A - résultat non disponible;N/A - résultat non disponible
02148;Celles-sur-Aisne;103;22490
02149;Cerizy;N/A - résultat non disponible;N/A - résultat non disponible
02150;Cerny-en-Laonnois;N/A - résultat non disponible;N/A - résultat non disponible
02151;Cerny-lès-Bucy;N/A - résultat non disponible;N/A - résultat non disponible
02152;Cerseuil;N/A - résultat non disponible;N/A - résultat non disponible
02153;Cessières-Suzy;321;23530
02154;Chacrise;148;22240
02155;Chaillevois;83;24300
02156;Chalandry;96;20700
02157;Chambry;361;22440
02158;Chamouille;109;21760
02159;Champs;116;20810
02160;Chaourse;209;19710
02162;La Chapelle-sur-Chézy;101;23470
02163;Charly-sur-Marne;1066;21500
02164;Le Charmel;135;22620
02165;Charmes;717;20900
02166;Chartèves;162;24770
02167;Chassemy;326;23340
02168;Château-Thierry;6760;19150
02169;Châtillon-lès-Sons;N/A - résultat non disponible;N/A - résultat non disponible
02170;Châtillon-sur-Oise;58;24780
02171;Chaudardes;40;24500
02172;Chaudun;93;24190
02173;Chauny;5358;18580
02174;Chavignon;308;22600
02175;Chavigny;62;21230
02176;Chavonne;75;20760
02177;Chérêt;56;23250
02178;Chermizy-Ailles;43;22740
02179;Chéry-Chartreuve;154;23450
02180;Chéry-lès-Pouilly;287;22150
02181;Chéry-lès-Rozoy;N/A - résultat non disponible;N/A - résultat non disponible
02182;Chevennes;57;20280
02183;Chevregny;76;24510
02184;Chevresis-Monceau;123;21220
02185;Chézy-en-Orxois;152;23140
02186;Chézy-sur-Marne;558;24080
02187;Chierry;502;24590
02188;Chigny;65;20520
02189;Chivres-en-Laonnois;142;20150
02190;Chivres-Val;230;22790
02191;Chivy-lès-Étouvelles;212;22990
02192;Chouy;144;22180
02193;Cierges;N/A - résultat non disponible;N/A - résultat non disponible
02194;Cilly;84;19560
02195;Ciry-Salsogne;348;24060
02196;Clacy-et-Thierret;134;25390
02197;Clairfontaine;207;23510
02198;Clamecy;96;23230
02199;Clastres;231;21930
02200;Clermont-les-Fermes;N/A - résultat non disponible;N/A - résultat non disponible
02201;Cœuvres-et-Valsery;144;24510
02203;Coincy;507;20580
02204;Coingt;N/A - résultat non disponible;N/A - résultat non disponible
02205;Colligis-Crandelain;82;22400
02206;Colonfay;N/A - résultat non disponible;N/A - résultat non disponible
02207;Commenchon;83;23680
02208;Concevreux;110;24070
02209;Condé-en-Brie;276;22080
02210;Condé-sur-Aisne;144;22960
02211;Condé-sur-Suippe;137;22530
02212;Condren;292;22270
02213;Connigis;131;22390
02214;Contescourt;N/A - résultat non disponible;N/A - résultat non disponible
02215;Corbeny;320;22490
02216;Corcy;134;24090
