Insee - Statistiques locales; ; ; 
Référentiel géographique : France par intercommunalité; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2021;Densité de population (historique depuis 1876) 2021
200067460;Communauté de communes Loudéac Communauté - Bretagne Centre;51540;44.1
200067478;Communauté de communes Comtal Lot et Truyère;19822;30.8
200067486;Communauté de communes Bouzonvillois-Trois Frontières;24229;73.5
200067502;Communauté d'agglomération Saint-Avold Synergie;52150;150.1
200067544;Creuse Confluence;16397;16.6
200067551;Communauté d'agglomération Thonon Agglomération;93344;390.8
200067593;Communauté de communes Marche et Combraille en Aquitaine;13128;13.6
200067627;Communauté de communes Billom Communauté;25987;94
200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;56813;183.5
200067643;Communauté de communes Meurthe Mortagne Moselle;16508;61
200067650;Communauté de communes Houve-Pays Boulageois;22883;90.7
200067668;Communauté de communes de la Cléry, du Betz et de l'Ouanne;19986;40
200067676;Communauté de communes Canaux et Forêts en Gâtinais;27294;36.3
200067684;Communauté d'agglomération Épernay, Coteaux et Plaine de Champagne;46920;79.9
200067692;Communauté de communes Tannay-Brinon-Corbigny;9468;12.5
200067700;Communauté de communes Sud Nivernais;20068;38.1
200067742;Communauté de communes Serre-Ponçon;16852;27.7
200067759;Communauté de communes Vallées et Plateau d'Ardenne;24205;58.6
200067767;Communauté de communes du Royans-Vercors;9616;20.2
200067783;Communauté de communes de Hanau-La Petite Pierre;26286;73.3
200067791;Communauté d'agglomération L'agglo Foix-Varilhes;32187;72.5
200067817;Communauté de communes Saône-Beaujolais;45074;83.5
200067825;Communauté d'agglomération Gap-Tallard-Durance;50561;143.9
200067841;Communauté de communes de l'Alsace Bossue;24157;63.5
200067866;Communauté de communes Sèvre et Loire;49510;179.3
200067874;Communauté d'agglomération de Haguenau;98638;247.1
200067882;Communauté de communes Bazois Loire Morvan;15138;12.5
200067890;Communauté de communes Morvan Sommets et Grands Lacs;12130;12.6
200067908;Communauté de communes Amognes Cœur du Nivernais;8526;13.2
200067916;Communauté de communes Cœur de Loire;24804;34.6
200067924;Communauté de communes du Canton d'Erstein;48676;181.3
200067932;Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération;175163;216.9
200067940;Communauté de communes Couserans-Pyrénées;29978;18.3
200067957;Communauté de communes Haut Chemin-Pays de Pange;19239;74.6
